PotID	PlantNum_Initial	FH_Num	FecundityNum	SurvivalNum	Mortality	6_12_total_num	6_12_late_germ_num	6_12_duplicate_num	Damaged_pot
273	20	20	0	20	0	16	0	0	NA
274	19	13	0	13	6	18	0	0	NA
275	18	0	17	17	1	16	0	0	NA
276	20	0	12	12	8	20	2	0	NA
277	16	12	0	12	4	15	0	1	NA
278	20	0	8	8	12	17	0	0	NA
279	20	7	3	10	10	20	0	0	NA
280	7	7	0	7	0	8	1	0	NA
281	20	7	0	7	13	18	0	0	NA
282	20	18	0	18	2	18	0	0	NA
283	19	8	2	10	9	18	0	0	NA
284	17	0	17	17	0	18	0	0	NA
285	18	1	6	7	11	18	0	0	NA
286	18	11	0	11	7	19	0	0	NA
287	15	7	4	11	4	12	0	0	NA
288	20	19	0	19	1	20	0	0	NA
289	19	2	0	2	17	19	0	0	NA
290	20	0	14	14	6	19	0	0	NA
291	6	0	0	0	6	6	0	0	NA
292	20	1	0	1	19	17	0	0	NA
293	20	8	0	8	12	20	0	0	NA
294	20	0	9	9	11	16	0	0	NA
295	0	0	0	0	0	0	0	0	NA
296	18	0	16	16	2	17	0	0	NA
297	18	3	4	7	11	15	0	0	NA
298	20	0	10	10	10	19	0	0	NA
299	19	14	2	16	3	19	0	0	NA
300	20	0	7	7	13	8	0	0	NA
301	20	14	0	14	6	19	0	0	NA
302	19	0	14	14	5	17	0	0	NA
303	19	16	0	16	3	20	1	0	NA
304	20	2	0	2	18	19	0	0	NA
305	16	6	0	6	10	13	0	0	NA
306	17	0	6	6	11	14	2	0	NA
307	19	11	0	11	8	19	0	0	NA
308	18	10	0	10	8	15	0	0	NA
309	8	5	0	5	3	9	0	0	NA
310	20	0	14	14	6	19	0	0	NA
311	19	17	0	17	2	18	0	0	NA
312	15	0	13	13	2	16	0	0	NA
313	20	4	0	4	16	20	0	0	NA
314	20	0	17	17	3	18	0	0	NA
315	20	20	0	20	0	20	0	0	NA
316	20	17	0	17	3	20	0	0	NA
317	20	0	14	14	6	18	0	0	NA
318	17	0	6	6	11	9	0	0	NA
319	20	4	6	10	10	19	0	1	NA
320	20	0	19	19	1	20	0	0	NA
321	20	0	15	15	5	18	0	0	NA
322	20	3	0	3	17	20	0	0	NA
323	18	2	7	9	9	18	0	0	NA
324	17	14	0	14	3	17	1	0	NA
325	20	10	0	10	10	20	0	0	NA
326	20	0	20	20	0	21	0	1	NA
327	14	0	1	1	13	11	0	0	NA
328	19	0	16	16	3	19	0	0	NA
329	20	12	0	12	8	20	0	0	NA
330	20	8	4	12	8	20	0	0	NA
331	20	0	0	0	20	21	4	0	damaged
332	18	0	18	18	0	17	0	0	NA
333	20	0	16	16	4	17	0	0	NA
334	20	2	2	4	16	19	0	0	NA
335	19	0	16	16	3	15	0	0	NA
336	20	21	0	21	-1	20	0	0	NA
337	18	0	11	11	7	18	0	0	NA
338	19	16	0	16	3	19	0	0	NA
339	20	3	17	20	0	19	0	0	NA
340	7	3	5	8	-1	4	0	0	NA
341	19	6	0	6	13	18	0	0	NA
342	20	0	11	11	9	18	0	0	NA
343	20	17	0	17	3	17	1	0	NA
