"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","lines1","lines2","lines3","lines4","lines5","lines6","lines7","lines8","lines9","lines10","lines11","lines12","lines13","lines14","lines15","lines16","lines17","lines18","lines19","lines20","GermRating","PlantNum_Initial","CanopyArea","SPAD","SLA_Area","SLA_Wt","SLA_Wt_notes","SLA","FH_Wt","FH_Num","FT.5.29.30.18","FT.6.4.18","FT.6.8.18","FT.6.12.18","FT.6.15.18","FT.6.19.18","FT.6.21.18","FT.6.26.18","FT.6.29.18","FT.7.6.18","FT.7.10.18","Notes_for_FT","Notes_for_SLA_SPAD","cow.damage.from.photos","Damaged_pot","FH_Wtsqrt","FT1001_mean","FT1001_min","FT1001_max","FT1001_q90","FT1001_q10","FT1001_16_mean","FT1001_16_min","FT1001_16_max","FT1001_16_q90","FT1001_16_q10","FT1001_var","FT1001_16_var","FT1001plast_mean","FT1001plast_var","PC5dist_mean","tmin_meangro_mean","Min.Tmp.Cld.M_mean","groseason_mean","tmean_4_mean","Latitude_mean","Latitude_mean2","Latitude_q10","Latitude_var","Longitude_mean","Longitude_q90","Ngenotypes","meanKin","meanGenD","treeDiv"
468,"468-D-mono-1-C","D",5,"mono",1,"C","CS76770","","","","","","","","","","","","","","","","","","","","MostGerm",15,4.57,35.5,0.14,0.366,"",0.383,0.1801,12,0,0,0,0,1,"1",1,25,25,25,25,"","Too small for SPAD","","",0.424381903478459,66.125,66.125,66.125,66.125,66.125,60.25,60.25,60.25,60.25,60.25,0,0,-11.75,0,5.2561606867598,78.1111111111111,-3,9,89,51.4083,2642.81330889,51.4083,0,-0.6383,-0.6383,1,7.32260312387646,0,0
135,"135-B-mono-1-S","B",1,"mono",1,"S","CS76390","","","","","","","","","","","","","","","","","","","","MostGerm",17,3.08,NA,0.06,0.124,"",0.484,0.2991,16,0,0,0,0,0,"0",0,0,0,0,0,"","Too small for SPAD, leaves are very purple","","",0.546900356555013,79.375,79.375,79.375,79.375,79.375,75,75,75,75,75,0,0,-8.75,0,6.97181094764357,110.666666666667,-28,9,124,41.83,1749.7489,41.83,0,46.28,46.28,1,7.32260312387646,0,0
473,"473-D-mono-1-S","D",5,"mono",1,"S","CS77023","","","","","","","","","","","","","","","","","","","","HalfGerm",15,1.59,28.1,0.18,0.454,"",0.396,0.1075,12,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD, lots of noticible herbivory","","",0.3278719262151,95.75,95.75,95.75,95.75,95.75,98.25,98.25,98.25,98.25,98.25,0,0,5,0,7.73449682284914,77.7142857142857,-7,7,117,38.7406,1500.83408836,38.7406,0,48.6131,48.6131,1,7.32260312387646,0,0
267,"267-C-mono-1-C","C",2,"mono",1,"C","CS77020","","","","","","","","","","","","","","","","","","","","MostGerm",20,2.52,NA,NA,NA,"",NA,NA,0,0,0,25,25,25,"25",25,25,25,25,25,"We must have not harvested this pot early enough - flowered but we have no weights for biomass","Too small for SPAD, purple leaves","","",NA,52.75,52.75,52.75,52.75,52.75,40,40,40,40,40,0,0,-25.5,0,5.18705283105515,80.5714285714286,-43,7,74,47.984,2302.464256,47.984,0,10.8719,10.8719,1,7.32260312387646,0,0
278,"278-C-mono-1-C","C",2,"mono",1,"C","CS76994","","","","","","","","","","","","","","","","","","","","MostGerm",20,1.08,NA,NA,NA,"",NA,0.0248,0,0,25,25,50,50,"50",50,50,75,75,75,"","Too small for SPAD, purple leaves","","",0.157480157480236,55.5,55.5,55.5,55.5,55.5,41.25,41.25,41.25,41.25,41.25,0,0,-28.5,0,10.5401146197568,20,-201,2,44,49.5,2450.25,49.5,0,73.1,73.1,1,7.32260312387646,0,0
282,"282-C-mono-1-S","C",2,"mono",1,"S","CS77033","","","","","","","","","","","","","","","","","","","","MostGerm",20,1.89,24.8,0.07,0.317,"",0.221,0.1158,18,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD, purple leaves","","",0.340293990543471,79,79,79,79,79,71.5,71.5,71.5,71.5,71.5,0,0,-15,0,5.12941830203436,85,-172,6,65,53.04,2813.2416,53.04,0,51.94,51.94,1,7.32260312387646,0,0
197,"197-B-mono-1-S","B",4,"mono",1,"S","CS76632","","","","","","","","","","","","","","","","","","","","MostGerm",15,5.94,NA,0.15,0.475,"",0.316,0.0711,0,0,0,1,25,50,"75",75,100,100,100,100,"","Very purple leaves","","",0.266645832519468,61.25,61.25,61.25,61.25,61.25,44,44,44,44,44,0,0,-34.5,0,4.71295261946803,75,-23,8,79,52.3,2735.29,52.3,0,9.3,9.3,1,7.32260312387646,0,0
418,"418-D-mono-1-S","D",3,"mono",1,"S","CS77229","","","","","","","","","","","","","","","","","","","","MostGerm",18,5.18,NA,0.2,0.751,"",0.266,0.1075,0,0,0,0,0,0,"",0,50,75,75,75,"","Very purple leaves, too small for SPAD","","",0.3278719262151,67.25,67.25,67.25,67.25,67.25,59.25,59.25,59.25,59.25,59.25,0,0,-16,0,6.37331353229658,45.25,-12,8,83,42.13,1774.9369,42.13,0,-6.7,-6.7,1,7.32260312387646,0,0
414,"414-D-mono-1-C","D",3,"mono",1,"C","CS77387","","","","","","","","","","","","","","","","","","","","MostGerm",18,NA,NA,NA,NA,"",NA,0.024,0,1,75,75,0,50,"50",50,75,75,75,75,"all infl. crushed on 6/15/18","","","",0.154919333848297,50.875,50.875,50.875,50.875,50.875,50.5,50.5,50.5,50.5,50.5,0,0,-0.75,0,7.91471514011001,88.75,40,12,112,43.37,1880.9569,43.37,0,-5.49,-5.49,1,7.32260312387646,0,0
100,"100-A-mono-1-C","A",5,"mono",1,"C","CS76978","","","","","","","","","","","","","","","","","","","","MostGerm",20,10,33.9,0.13,0.391,"",0.332,0.0301,2,0,0,0,0,0,"0",0,0,0,0,0,"dug up by animal 7-3-18","","","damaged",0.173493515728975,73.79166666665,73.79166666665,73.79166666665,73.79166666665,73.79166666665,70.25,70.25,70.25,70.25,70.25,0,0,-7.0833333333,0,3.96483434261191,84.4,-201,5,33,51.36,2637.8496,51.36,0,82.59,82.59,1,7.32260312387646,0,0
