"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"246",-0.0345140882368632,-0.0345140882368632,-0.0345140882368632,0.0231570388241502,0.0231570388241502,0.0231570388241502,0.0650638985847172,0.0650638985847172,0.0650638985847172,0.0111286349732464,0.0111286349732464,0.0111286349732464,-0.00219286310981682,-0.00219286310981682,-0.00219286310981682,-0.0728014950514335,-0.0728014950514335,-0.0728014950514335,-0.138944238927769,-0.138944238927769,-0.138944238927769,-0.172404433446377,-0.172404433446377,-0.172404433446377,0.161547685494399,0.161547685494399,0.161547685494399
"247",-0.0547877115966774,-0.0316623870045238,0.073340036719676,-0.264169763997388,0.0218248604526194,0.0831332456937738,-0.107158555607645,0.0647184764877246,0.093593939075165,-0.07737866493419,-0.00169892589187516,0.0150276130234901,-0.00506281690955333,-0.00157033825257487,0.0672026130341193,-0.0744660016849212,-0.0256406536161712,0.011898943333302,-0.142667971656198,0.002396840522068,0.113908690690038,-0.128889696630273,0.0174696333843704,0.0637974130010935,-0.065265569932668,-0.00150945998007707,0.148694107185079
"376",-0.0418524690771905,-0.0418524690771905,-0.0418524690771905,0.00824865034707254,0.00824865034707254,0.00824865034707254,0.00813019916199586,0.00813019916199586,0.00813019916199586,0.00322265815925676,0.00322265815925676,0.00322265815925676,-0.0015333711375134,-0.0015333711375134,-0.0015333711375134,-0.101326346512137,-0.101326346512137,-0.101326346512137,-0.218523691685583,-0.218523691685583,-0.218523691685583,-0.545725396640819,-0.545725396640819,-0.545725396640819,-0.716990788877132,-0.716990788877132,-0.716990788877132
"378",-0.0764458894307407,-0.0764458894307407,-0.0764458894307407,0.170333388289721,0.170333388289721,0.170333388289721,-0.301575139786887,-0.301575139786887,-0.301575139786887,-0.0184356063744819,-0.0184356063744819,-0.0184356063744819,0.00995147710965029,0.00995147710965029,0.00995147710965029,0.00770241975685132,0.00770241975685132,0.00770241975685132,0.0335374404233882,0.0335374404233882,0.0335374404233882,0.0531834747660106,0.0531834747660106,0.0531834747660106,0.0111126924823943,0.0111126924823943,0.0111126924823943
"444",-0.0537754037915839,-0.031456238936441,0.521301292315692,-0.238965921081782,0.024967678199273,0.118769018413842,-0.178241624033167,0.0403688279840608,0.113032314291515,-0.0373521368569999,0.00198612474668869,0.0127256625084694,-0.00871854222372437,-0.0016068572497678,0.0340314112101533,-0.0578869075898221,-0.0135904746317832,0.0397157562954638,-0.176687286412893,0.00387817578290009,0.186331543556004,-0.188395205221007,-0.0165142350917682,0.028267229976442,-0.065110418360599,0.0188974038956405,0.163558626958962
"98",-0.0170556890511305,-0.0170556890511305,-0.0170556890511305,0.0638666399880719,0.0638666399880719,0.0638666399880719,0.116897871287827,0.116897871287827,0.116897871287827,0.00988035919595923,0.00988035919595923,0.00988035919595923,-0.00767973569298312,-0.00767973569298312,-0.00767973569298312,0.0580931827549646,0.0580931827549646,0.0580931827549646,0.237352001194654,0.237352001194654,0.237352001194654,-0.116503106733445,-0.116503106733445,-0.116503106733445,0.0431294062000473,0.0431294062000473,0.0431294062000473
"23",-0.0442947775161711,-0.0442947775161711,-0.0442947775161711,-0.238496129670581,-0.238496129670581,-0.238496129670581,-0.0611722051939433,-0.0611722051939433,-0.0611722051939433,-0.0106499699055672,-0.0106499699055672,-0.0106499699055672,0.00102783482021315,0.00102783482021315,0.00102783482021315,0.00163628054531806,0.00163628054531806,0.00163628054531806,0.0174099707086595,0.0174099707086595,0.0174099707086595,-0.00015812028378747,-0.00015812028378747,-0.00015812028378747,0.00931271863673313,0.00931271863673313,0.00931271863673313
"478",0.015490608111842,0.015490608111842,0.015490608111842,0.0497051764222441,0.0497051764222441,0.0497051764222441,0.138749520150307,0.138749520150307,0.138749520150307,0.00491571196899056,0.00491571196899056,0.00491571196899056,-0.00898049346684078,-0.00898049346684078,-0.00898049346684078,0.0570946083551609,0.0570946083551609,0.0570946083551609,0.222619822422452,0.222619822422452,0.222619822422452,-0.0251076620002095,-0.0251076620002095,-0.0251076620002095,0.0292434032172053,0.0292434032172053,0.0292434032172053
"448",-0.0170556890511305,-0.0170556890511305,-0.0170556890511305,0.0638666399880719,0.0638666399880719,0.0638666399880719,0.116897871287827,0.116897871287827,0.116897871287827,0.00988035919595923,0.00988035919595923,0.00988035919595923,-0.00767973569298312,-0.00767973569298312,-0.00767973569298312,0.0580931827549646,0.0580931827549646,0.0580931827549646,0.237352001194654,0.237352001194654,0.237352001194654,-0.116503106733445,-0.116503106733445,-0.116503106733445,0.0431294062000473,0.0431294062000473,0.0431294062000473
"386",0.571121081156701,0.571121081156701,0.571121081156701,-0.0130008400033856,-0.0130008400033856,-0.0130008400033856,-0.108691989894141,-0.108691989894141,-0.108691989894141,-0.212399934860949,-0.212399934860949,-0.212399934860949,-0.770841723938198,-0.770841723938198,-0.770841723938198,-0.0353885123309103,-0.0353885123309103,-0.0353885123309103,-0.0323960003196606,-0.0323960003196606,-0.0323960003196606,-0.0173699326909925,-0.0173699326909925,-0.0173699326909925,0.0240912447497293,0.0240912447497293,0.0240912447497293
"394",-0.0537230201110592,-0.0537230201110592,-0.0537230201110592,0.118350614143054,0.118350614143054,0.118350614143054,-0.176945673355434,-0.176945673355434,-0.176945673355434,-0.0157427358353054,-0.0157427358353054,-0.0157427358353054,0.00565118787228922,0.00565118787228922,0.00565118787228922,0.0261707154439724,0.0261707154439724,0.0261707154439724,0.0194540906379186,0.0194540906379186,0.0194540906379186,-0.028638485498722,-0.028638485498722,-0.028638485498722,0.0180475098773874,0.0180475098773874,0.0180475098773874
"72",-0.0368387018780053,-0.0368387018780053,-0.0368387018780053,0.0221737648837639,0.0221737648837639,0.0221737648837639,0.0663683823181285,0.0663683823181285,0.0663683823181285,0.0113035538061065,0.0113035538061065,0.0113035538061065,-0.00138731778307232,-0.00138731778307232,-0.00138731778307232,-0.0557922250036951,-0.0557922250036951,-0.0557922250036951,-0.100964685436528,-0.100964685436528,-0.100964685436528,-0.0818119364899785,-0.0818119364899785,-0.0818119364899785,0.0755967855759362,0.0755967855759362,0.0755967855759362
